,funding_entity,sum(mean_spend)
3143,UNITEDEMOCRATS PAC,482193.0
3144,The Officer Tatum LLC,482071.5
3145,Sacramento County of Public Health,481984.0
3146,County of San Diego - Government,481920.0
3147,"Stronger Foundations, Inc.",481731.5
3148,We The Protesters,481647.0
3149,Michigan Climate Action Network,481605.5
3150,Louisiana Taxpayer Education Fund,481562.5
3151,Tennessee Department of Economic and Community Development ,481375.0
3152,BALDERSON FOR CONGRESS,481280.0
3153,Atilla None Ustun,481258.5
3154,Shireen Ghorbani for Salt Lake County Council At-Large,480984.5
3155,Retailers and Store Owners United to Rebuild our Communities’ Economies,480905.5
3156,Kennedy Democrats,480892.5
3157,LindaTGonzalez for Florida State House District 93,480862.5
3158,"Maine Liberty Coalition, LLC",480847.0
3159,House for Colorado,480832.5
3160,Citizens for JD Wooten,480726.0
3161,Virginia Mercury,480509.5
3162,South Florida Residents First ,480478.0
3163,Richard P Ashton,480409.0
3164,Montana Trout Unlimited,480331.0
3165,Office of Congressman TJ Cox,480240.5
3166,Students for Life of America,480188.0
3167,SEATTLE'S UNION GOSPEL MISSION,479515.0
3168,Biggs for Congress,479476.5
3169,MALONEY FOR CONGRESS,479288.5
3170,Suzette Valladares for Assembly 2020,479232.5
3171,Wesson for Supervisor 2020,479207.5
3172,"Ckezepis Law, PLLC",478849.0
3173,PAUL GOSAR FOR CONGRESS,478537.5
3174,"PIRG New Voters Project, Inc.",478372.5
3175,JOHN CLARK FOR CONGRESS,478325.5
3176,Safe Together NY Inc,477886.5
3177,JESS SCARANE FOR DELAWARE,477831.0
3178,National Union of Healthcare Workers,477830.0
3179,The World,477789.5
3180,Cindy Lerner Campaign for County Commision District 7,477445.0
3181,Ohio Federation of Teachers,477290.0
3182,Illinois Primary Health Care Association,477256.5
3183,Oklahoma Department of Commerce,477166.5
3184,Friends of Sarah Schulz,477153.5
3185,Committee to Elect House Republicans,476892.5
3186,Dave Thomas Foundation for Adoption,476444.5
3187,Mosaic,475889.5
3188,"STANLEY BLACK & DECKER, INC.",475819.5
3189,South Carolina Community Alliance,475347.5
3190,"ORANG UTAN REPUBLIK FOUNDATION, INC.",475178.0
3191,Santa Barbara for Safe and Local Transport,475127.0
3192,TERESA FOR ALL,475004.5
3193,"Congressman Dan Bishop, US House of Representatives",474344.0
3194,"TAPESTRY, INC.",473996.0
3195,Montana Conservation Voters,473887.0
3196,the Office of Congressman Steven Palazzo,473790.0
3197,Friends of Lindsay Drew,473638.0
3198,Robert William Zagby,473315.5
3199,Blessings Through Actions,473173.0
3200,Friends of Kim Thatcher ,473123.0
3201,San Diegans Opposing Gaspar for Supervisor 2020 sponsored by labor organizations.  Committee major funding from SEIU United Healthcare Workers West San Diego County Building Trades Council Family Housing Corp. dba National City Park Apartments and Affiliated Entities United Domestic Workers of America Not authorized by a candidate or committee controlled by a candidate.,472990.5
3202,Portside,472972.5
3203,factspread,472746.0
3204,Only Human,472471.0
3205,SECOND HARVEST HEARTLAND,472454.0
3206,Step Up For Students,472309.5
3207,Californians for Kidney Dialysis Patient Protection,472206.0
3208,Yes for the DIA,471956.5
3209,SEIU Healthcare Pennsylvania,471651.0
3210,Florida Immigrant Coalition,471509.0
3211,LAW CENTER FOR SOCIAL SECURITY RIGHTS,471496.0
3212,Salesforce.com Inc.,470991.0
3213,Unilever,470892.5
3214,Patty for Senate,470742.0
3215,"Protect Our Jobs, Inc.",470711.0
3216,COLORADO CHILDERN'S CAMPAIGN INC,470633.5
3217,Pelican Institute for Public Policy,470377.0
3218,If Americans Knew,470241.0
3219,Elizabeth Dole Foundation,469983.0
3220,Morris County Government,469931.5
3221,Independent Insurance Agents of North Carolina,469875.5
3222,Friends of Jeff Keicher,469385.5
3223,Friends of Martina White,468796.0
3224,UnidosUS with Facebook Credits,468726.5
3225,The Home T,468406.5
3226,Planned Parenthood of Orange and San Bernardino Counties,468359.0
3227,Mass Liberation Project,468276.0
3228,NARAL Pro-Choice Ohio Foundation,468166.0
3229,Friends of Michael Naft,468121.0
3230,ProgressNow New Mexico,467841.5
3231,Pierce County Auditor's Office,467685.5
3232,"Uinterview, Inc.",467595.5
3233,Mary Burress for State Senate,467307.0
3234,"Erin Zwiener, Texas State Representative",466900.5
3235,"BEN SASSE FOR U.S. SENATE, INC.",466730.0
3236,MUSLIM ADVOCATES,466443.5
3237,Expanding Medication Abortion Access (EMAA) Project,466138.0
3238,The Fulcrum,465847.0
3239,Friends of Grace Mah for Santa Clara County School Board 2020,465738.5
3240,United We Dream Action,465597.0
3241,"Matt Metz, Republican, for Public Defender, 7th Circuit",465399.5
3242,Citizens For Harry He Assembly 2018,465398.5
3243,"Build Bridges, Not Walls Opposing Republican Kristin Gaspar for Supervisor 2020",465281.0
3244,Veterans for Career Education,465185.5
3245,Take Care of Texas,465024.5
3246,CTE Peter J. Lucido for Prosecutor,464935.5
3247,Humano y Libre,464776.0
3248,MassCEC,464388.0
3249,BLUE CROSS AND BLUE SHIELD ASSOCIATION,464152.0
3250,Carmen for Portland,463776.5
3251,NEESE FOR CONGRESS,463607.0
3252,Represent.Us Education Fund,463457.0
3253,Hagan for Congress,463346.0
3254,Steve San,463322.5
3255,Vote for Lea Marquez Peterson. Authorized by Lea Marquez Peterson.,463153.5
3256,NEA Advocacy Fund,462866.0
3257,Fair and Equal Michigan,462729.0
3258,Clint Barras for State Rep,462052.0
3259,Friends of Jerry Cirino,461618.0
3260,Julia Maldonado Campaign,461322.0
3261,Judge Bill Kephart,461133.5
3262,Illinois Republican Party,460127.0
3263,The Philly Statement,460094.0
3264,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,460061.5
3265,VOTE HEATHER CARTER SENATE,459966.0
3266,Auto Care Association,459965.0
3267,CIVIL JUSTICE ASSOCIATION OF CALIFORNIA,459784.0
3268,DAGA PLP,459571.0
3269,AUDREY DENNEY FOR CONGRESS,459464.0
3270,Dan Laughlin Committee To Elect,459436.5
3271,Lever for Change,459288.0
3272,Elect Ellen Rosenblum for Attorney General,459125.5
3273,WWB Holdings LLC,458949.0
3274,Friends of Ted Wheeler,458946.0
3275,"Tracey Kagan, Democrat for Florida House District 29",458908.5
3276,Friends of Steve Doyle,458719.0
3277,New Jersey American Water,458467.5
3278,FLIC Votes,458238.0
3279,Progress Iowa,458220.0
3280,Diane Elise Haner,457946.0
3281,Thomas Massie for Congress,457944.5
3282,Healthy and Free Tennessee,457927.0
3283,Because International Corp,457843.5
3284,Safe Communications Consultants LLC,457494.0
3285,Quicken Loans Mortgage Services,457197.0
3286,Nina Wheeler Yoakum,457186.5
3287,"Save San Francisco Small Businesses, No on F, Sponsored by the San Francisco Association of Realtors.",456957.0
3288,Virguez Law,456588.0
3289,Texans for Traffic Relief ,456375.0
3290,Kyle Bradley Taylor,455977.0
3291,Let's Build Roads,455823.5
3292,Bad News Wares,455748.5
3293,Urban Teachers,455726.0
3294,Office of Rep. Tim Walberg,455563.5
3295,DEBBIE DINGELL FOR CONGRESS,455069.0
3296,Sierra Hana Golden,455025.5
3297,"David Smick ""Stars and Strife""",454617.0
3298,Sean Bennett,454451.0
3299,"the Committee to Elect Justice Charlie Bethel, Inc.",454442.0
3300,Transport Workers Union Local 556,454099.5
3301,"Greenleaf, Inc.",454056.5
3302,"Progress Georgia, Inc.",453606.0
3303,"VISION AMERICA MOBILIZED, INC.",453414.5
3304,Air Mail,453393.5
3305,W.E.A.V.E. INCORPORATED,453357.0
3306,The Thomas Guide Show,453260.0
3307,Zohran for Assembly,452558.5
3308,Angela Witwer for State Representative,452506.5
3309,CHELE FARLEY FOR CONGRESS INC.,452495.5
3310,Beskin for Justice Inc,452303.0
3311,Triggered Freedom Apparel,452250.0
3312,Federal Voting Assistance Program (FVAP),452058.5
3313,CAVELL FOR CONGRESS,451952.5
3314,Friends of Devlin,451826.5
3315,Jake Auchincloss for Congress,451187.5
3316,The Move Forward PAC ,451027.0
3317,Liberal Humans,451019.5
3318,"the State of South Dakota Unclaimed Property Division, not tax payers.",450954.0
3319,Lake County Democratic Women,450847.5
3320,Vote Baldwin,450588.5
3321,Floridians for Attainable Rx ,450555.0
3322,Maverick County,450286.0
3323,Arizona Coalition For Change,449937.0
3324,CALIFORNIA DEMOCRATIC PARTY,449693.0
3325,Centro,449567.5
3326,Friends of Betsy Rader,449425.5
3327,"Jean-Pierre Bado, Democrat, for Florida House 114",449401.5
3328,PACIFIC JUSTICE INSTITUTE,449336.0
3329,HIP HOP CAUCUS EDUCATION FUND,449237.5
3330,Families for Jackson Justice,449087.0
3331,Local Choice Colorado,448869.0
3332,EQUALITY ILLINOIS,448813.0
3333,THIRU VIGNARAJAH FOR BALTIMORE,448466.0
3334,Walla Walla Community College,448409.0
3335,Lynn Stucky Campaign,447443.5
3336,City of Los Angeles,447232.0
3337,Danielle 4 PA ,446915.5
3338,1820 PAC,446908.0
3339,Esta en Tus Manos Nevada ,446553.0
3340,Denver Commits to Kids,446496.0
3341,Keep Kentucky Great,446221.5
3342,Kronda Thimesch Campaign ,445068.5
3343,Wisconsin Elections Commission with Facebook Ad Credits,444592.0
3344,Dominique Lasseur,444318.0
3345,Marbutt for Judge,443731.0
3346,ROYCE WEST FOR U.S. SENATE,443730.0
3347,LOKAI HOLDINGS LLC,443133.5
3348,"OPERATION MOBILIZATION USA, INC.",443074.0
3349,Our Kids First,442601.0
3350,Forward Montana Foundation,442552.5
3351,Chokwe Pitchford for 79th District Representative,442434.5
3352,LMG PAC,442429.0
3353,Centennial State Prosperity,442340.0
3354,"HOUSING OPPORTUNITIES MADE EQUAL OF VIRGINIA, INC",442050.5
3355,Steven Niems,441975.0
3356,"No on Prop 21 - Californians to Protect Affordable Housing - a coalition of housing advocates, renters, businesses, taxpayers, and veterans",441413.5
3357,KHEIDRA K BROWN-WYNTER,441181.5
3358,Food Lion ,440642.5
3359,"Marsy’s Law for Iowa, LLC",440311.0
3360,CHRIS WARD FOR ASSEMBLY 2020,440073.0
3361,Californians for Recycling and the Environment,439407.0
3362,"American Civil Liberties Union of Kentucky, Inc.",439021.5
3363,CHANGE Illinois Action Fund,438873.0
3364,Blueline Stockpile,438652.0
3365,Forward Florida Action,438617.0
3366,Rebuild SoCal,438566.0
3367,Citizens for Mike Nerheim,438562.5
3368,Planned Parenthood Advocates of Montana,438374.0
3369,CONNECTICUT BUSINESS & INDUSTRY ASSOCIATION INC,438111.5
3370,Donald Lee Rowan,438002.5
3371,Revitalize Arizona,437859.0
3372,Jordan Cunningham for Assembly 2020,437803.0
3373,Gary Gates for Texas,437691.0
3374,Christi Jacobsen for Montana,437644.5
3375,For Our Future Education Fund,436968.0
3376,"Judge Natasha DePrimo, Non-Partisan, for Broward County Court Judge Group 31",436791.5
3377,DETROIT RESCUE MISSION MINISTRIES,436640.5
3378,"NATIONAL RIGHT TO LIFE COMMITTEE, INC.",436495.5
3379,Target Marketing Digital,436323.0
3380,Opportunity PAC,436197.0
3381,UNRWA USA,436022.5
3382,Every Body Texas,435774.5
3383,Wyoming Liberty Group,435661.5
3384,Ghazal for Georgia,435527.0
3385,"JOBS FREEDOM AND SECURITY PAC, Not authorized by any candidate or candidate’s committee.",435074.5
3386,Burma Task Force,434971.0
3387,Harvey Ruvin for Clerk of Courts,434571.5
3388,Poor People's Campaign ,434427.0
3389,Run For Something PAC,433668.0
3390,The Rep For Vets,433370.0
3391,Tiffany L Foxworth,433125.5
3392,Great Again Gear,433022.5
3393,ICAA,432856.0
3394,Connecticut Secretary of the State,432618.5
3395,National Constitution Center,432597.0
3396,Wesley Harris for NC,432532.0
3397,PROTECTING OUR VOTE PAC,432476.0
3398,Westbound Communications,432347.0
3399,TRUE KENTUCKY PATRIOTS,431986.5
3400,PolitiCoolClothing.com,431826.0
3401,Walter Jack Blackman,431696.5
3402,"EQUITAS HEALTH, INC.",431629.5
3403,Friends of Wuliger,431604.5
3404,Mosher for Pima County Attorney,431357.5
3405,Conservative Texans For Energy Innovation,431004.5
3406,Cut Illinois Taxes Now,430816.0
3407,"Committee to Elect Charles Steinberg Judge, Dennis Webb, Treasurer",430784.0
3408,"Yes on 25 -  End Predatory & Unfair Money Bail, a coalition of justice reform and labor organizations. Committee major funding from Connie E. Ballmer and affiliated entities, Steven A. Ballmer and affiliated entities and John Arnold.",430538.0
3409,VERMONT PUBLIC INTEREST RESEARCH GROUP,430167.5
3410,Rep. Rob Wittman,430048.5
3411,PEOPLE FOR PEOPLE,429079.0
3412,The Wright Stuff Chics,428687.0
3413,CENTER FOR UNION FACTS,428467.5
3414,Wisconsin Freedom Alliance,428450.5
3415,TEXAS VALUES,428445.5
3416,TANDON FOR CONGRESS,428379.0
3417,California Coastal Commission Public Education Program,428174.0
3418,Exer Urgent Care,428048.5
3419,David Ryu for City Council 2020,428021.0
3420,"Joevahn ""Joe"" Scott, Democrat for Supervisor of Elections",427865.5
3421,Committee To Elect Nicole Cannizzaro,427816.5
3422,FRIENDS OF ROSA DELAURO,427567.5
3423,THE GUARDIAN FUND,427413.0
3424,Maine Prosperity Alliance,427081.5
3425,MICHIGAN ACTION - FEDERAL ACCOUNT,426596.0
3426,DOUGLAS FOR STATE HOUSE,426095.0
3427,Vote Texas PAC,426018.0
3428,"SECOND HARVEST FOOD BANK OF CENTRAL FLORIDA, INC.",425878.5
3429,Montgomery Countians For A & Against B,425755.0
3430,"the American Federation of State, County & Municipal Employees PEOPLE, AFSCMEPEOPLE.org. Not authorized by any candidate or candidate’s committee.",425204.5
3431,the Committee to Elect a Republican Senate,425112.5
3432,Yes! for a Better San Diego,425085.5
3433,Judea West,424734.5
3434,PEN AMERICAN CENTER INC,424505.5
3435,Mary Washington Healthcare,424477.0
3436,Kevin Schneider for Sheriff,424356.0
3437,Craig Goldman Campaign,424243.5
3438,Plotkin for Senate,424174.0
3439,Kriss Marion for SW Wisconsin,423873.0
3440,Miami-Dade Community Action and Human Services,423598.0
3441,Kordalis For Judge ,422742.0
3442,Citizens for Cherry Creek Schools,422527.5
3443,DELGADO FOR CONGRESS,422486.5
3444,ALASKA REPUBLICAN PARTY,421789.0
3445,National Redistricting Foundation,421684.5
3446,Bluestem Foundation,421608.0
3447,Congressman Van Taylor,421561.0
3448,DERRECK JOHNSON FOR OAKLAND CITY  COUNCIL 2020 ,421113.0
3449,Sean Michael Probber,421059.0
3450,Iowa Gun Owners,420584.0
3451,The Amy Clark Meachum Campaign,420507.0
3452,Mysunbuddy,420394.0
3453,"N. A. A. C. P. LEGAL DEFENSE AND EDUCATIONAL FUND, INC.",420358.0
3454,North Carolina Values Coalition,420280.5
3455,House Republican Campaign Committee ,420271.5
3456,CALIFORNIA FEDERATION OF TEACHERS,420170.5
3457,American Prairie Reserve,420085.5
3458,Palast Investigative Fund,419765.0
3459,JUST THE TRUTH POLITICAL ACTION COMMITTEE,419189.0
3460,KidsRights with Facebook ad credits,419125.5
3461,FRIENDS OF CINDY BANYAI,419005.0
3462,"Catherine McBreen, Republican for Supervisor of Elections",418921.0
3463,City of Jacksonville,418133.0
3464,Banister Nissan of Chesapeake,418040.0
3465,Arizona Education Association,417670.5
3466,FRIENDS OF JIM INHOFE,417621.0
3467,Tony Tinderholt Campaign,417542.5
3468,Friends of Margaret Peggy O'Connell,417259.5
3469,CASEY ASKAR FOR CONGRESS,416712.5
3470,Citizens for Turner,416709.0
3471,JOHN LITTLE SCOTTSDALE 2020,416672.5
3472,Jen2020,416215.0
3473,"Federal Student Aid, an office of the U.S. Department of Education",415884.0
3474,Edith Dume Lerner,415862.5
3475,KATHLEEN RICE FOR CONGRESS,415779.0
3476,SmartSites,415311.0
3477,Mitchell Community College,415180.5
3478,Citizens to Retain Judge Richard Titus,415048.5
3479,Realtors® Political Advocacy Committee,414763.5
3480,Assembly Democratic Campaign Committee,414651.5
3481,ETHICS AND RELIGIOUS LIBERTY COMMISSION OF THE SOUTHERN BAPTIST,414630.5
3482,Knute for Congress,414588.0
3483,"Yes on A, SF Health and Recovery Bond",414356.5
3484,RAILS ,414264.5
3485,Committee to Elect Terri LeGrand,413972.5
3486,Local Government Information Services,413912.0
3487,Dewey Bredeson for Assembly Committee,413846.0
3488,Friends of Jennifer O'Mara,413313.0
3489,Progress NYS,413236.5
3490,"OBSTETRICIANS AND GYNECOLOGISTS, AMERICAN COLLEGE OF",413197.5
3491,Virginia Department of Elections,413119.0
3492,Massachusetts Education Justice Alliance,413059.5
3493,New Mexico Wilderness Alliance,413010.0
3494,Richer for Recorder,412878.5
3495,BRIDGET FLEMING FOR CONGRESS,412690.5
3496,Citizens for Gavarone,412615.0
3497,Rebecca Bell-Metereau Campaign,412484.5
3498,My Pride Apparel,412454.5
3499,"OLE EDUCATION FUND, THE",411710.0
3500,Friends of Alexis Miller,411684.5
3501,Charter Schools Now PAC,411574.0
3502,"COMMONWEALTH INSTITUTE FOR FISCAL ANALYSIS, THE",411392.0
3503,PETERSON FOR CONGRESS,411259.0
3504,Habush Habush & Rottier,410567.0
3505,FORWARD JUSTICE,410359.0
3506,The New York Public Library,410165.5
3507,Wingman PAC,409888.5
3508,SCHOLTEN4IOWA CAMPAIGN COMMITTEE,409782.0
3509,"Billy Hickman for State Senate, Inc.",409224.0
3510,Delaware Department of Health and Social Services,408876.0
3511,FRIENDS OF JAHANA HAYES,408816.0
3512,Gloucester County Democratic Committee,408804.5
3513,Immigration Law Offices of Hadley Bajramovic,407910.5
3514,Greg for Montana,407797.5
3515,BURCHETT FOR CONGRESS,407097.0
3516,JOSH GAPP FOR CONGRESS,406897.5
3517,KANSAS REPUBLICAN PARTY,406885.0
3518,AL LAWSON FOR CONGRESS,406754.0
3519,Molly Gray for Vermont,406735.0
3520,DAY CARE COUNCIL OF NEW YORK INC,406715.0
3521,JUDSON SAPP FOR CONGRESS,406688.5
3522,American Wild Horse Campaign,406619.5
3523,IFC PAC,406553.5
3524,"Yes on Amendment B, Bernie Buescher, Registered Agent. ",405921.0
3525,Friends of Logan Endow,405652.5
3526,Students for Life Action,405624.0
3527,"WEST VIRGINIA REPUBLICAN PARTY, INC.",405598.5
3528,SLOCUM FOR CONGRESS,405593.0
3529,Mariah Shaneice Wells,405580.0
3530,Wyoming Gun Owners,405534.0
3531,Friends of Barb Anness,405530.5
3532,SAMMinistries,405281.5
3533,Office of the Indiana Secretary of State with Facebook Ad Credits,405081.5
3534,Kentucky Democratic Party,404730.0
3535,New Venture Fund,404569.0
3536,Cenk for Congress,404490.0
3537,Colorado Values Project,404231.5
3538,Montana Women Vote,404087.0
3539,BUILDING TRADE EMPLOYERS ASSOCIATION INC,403822.0
3540,Medicture,403788.0
3541,UJA-Federation of New York,403742.5
3542,BPC Action,403632.5
3543,HOYER FOR CONGRESS,403423.0
3544,"Abrahamsen, Conaboy & Abrahamsen",403295.5
3545,Todd Gloria for Mayor 2020,403156.5
3546,Alexander Quinn Urbach,402855.5
3547,VoteSimple,402693.5
3548,Alliance for Aging Research,402284.5
3549,National Association of Water Companies (NAWC),402099.0
3550,Andrew Joseph Young,401857.5
3551,Texas Nationalist Movement,401619.0
3552,Kennebec Valley Society LLC,401325.5
3553,EXODUS ROAD INC,400973.0
3554,HOMETOWN VALUES PAC,400746.5
3555,Office of Rep. Jack Bergman,400247.0
3556,"COALITION OF NATIONAL PARK SERVICE RETIREES, INC.",400041.5
3557,"AMERICAN SOCIETY OF ANESTHESIOLOGISTS, INC., THE",400019.0
3558,Pete Dougherty for State Senate,399840.5
3559,EXELON CORPORATION,399624.0
3560,DEMOCRATIC PARTY OF ILLINOIS,399623.0
3561,Friends of Natasha Marcus,399540.5
3562,Max Burns for State Senate,399285.0
3563,"theSkimm, Inc.",399274.5
3564,Office of Rep. Lucy McBath,399231.0
3565,Friends of Senator Jane Nelson,398850.0
3566,ALASKA WILDERNESS LEAGUE,397740.5
3567,PENNSYLVANIA ASSOCIATION OF REALTORS,397674.0
3568,Friends of Jill Dennin,397523.5
3569,Committee to Elect Judge Amy Martoche,396695.5
3570,Xavier Ethan Brown,396422.5
3571,"WFW ACTION FUND, INC.",396381.0
3572,Chicago Abortion Fund,396307.5
3573,LOCAL 32 BJ SEIU,395994.5
3574,Republican Party of Orange County ,395947.5
3575,Purple PAC,395742.5
3576,Mike Miller for Orange County Commission,395154.5
3577,TIME'S UP,394926.5
3578,Impact Communications,394826.0
3579,Friends of Jon Morgan,394481.0
3580,Greater Austin Crime Commission,394360.5
3581,Robinson For Senator Authorized by Lynsey Robinson,394215.0
3582,Projects For Good,394177.0
3583,"Support Our Schools - Yes on J  Committee major funding from  Philip Halperin ($50,000)  Sara Morshige Williams ($50,000)  Evan Williams ($50,000)  Financial disclosures are available at sfethics.org",393888.5
3584,Citizens Alliance of Pennsylvania,393758.5
3585,Elect Grant Medeiros,393745.0
3586,WISCONSIN VOICES INC,393708.0
3587,VERN BUCHANAN FOR CONGRESS,393212.0
3588,ALASKA DEMOCRATIC PARTY,392830.0
3589,"Clean Virginia, Inc.",392801.0
3590,FOR FLORIDA’S FUTURE P.C,392466.0
3591,TAKE BACK THE WEST PAC,392206.5
3592,Lucky Shot USA,392139.0
3593,First 5 San Joaquin,392123.5
3594,Dignity Unbound,391100.5
3595,My Online Cert,391029.5
3596,"NEON RATED, LLC",390874.5
3597,Connecticut Republican Party,390789.0
3598,Wilkin for Judge,390788.5
3599,American Life League,390445.5
3600,Citizens Count,390316.0
3601,WILLIAM FIGLESTHALER FOR CONGRESS,390313.5
3602,Solar United Neighbors,390078.0
3603,Steve Alm for Prosecutor,389662.5
3604,U.S. Rep. Rodney Davis,389481.0
3605,Friends of Dora Villarreal,389296.0
3606,John McGuire for Virginia,388994.0
3607,Women's Heart Alliance ,388979.5
3608,Joshua Adam Sparks,388945.5
3609,NARAL Pro-Choice Massachusetts,388905.0
3610,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,388839.5
3611,Andrew Myers for House,388375.0
3612,DEMOCRATIC PARTY OF NEW MEXICO,388369.0
3613,"Advance Native Political Leadership, a project of Tides Advocacy",388117.5
3614,"INSTITUTE FOR LOCAL SELF-RELIANCE, INC.",387912.0
3615,HUDSON FOR CONGRESS,387886.0
3616,Front and Centered,387803.5
3617,Equality California Political Action Committee,387794.5
3618,Bryan Daley,387525.0
3619,The Years Project,387510.5
3620,Community Care Network of Kansas,387308.0
3621,Citizens For Responsible Leadership,387132.5
3622,PKA Karate Academy Inc,387041.0
3623,Evie Magazine ,386582.0
3624,Re-elect Judge Lisa Neubauer,386502.0
3625,FIRST BAPTIST CHURCH DALLAS,386485.0
3626,BEN SIGEL FOR CONGRESS,386261.5
3627,"Marsy’s Law for Pennsylvania, LLC",386174.0
3628,Institute for Responsible Alcohol Policy,385904.0
3629,Friends of Wendy Ullman,385759.0
3630,AFSCME LOCAL 3299 HID,385548.0
3631,Jonathan Wallace for State House,385295.0
3632,Friends of Denyc Boles,385201.5
3633,WELCH FOR CONGRESS,385163.0
3634,Spiros Mantzavinos for the 7th,384512.5
3635,The Committee To Elect Magistrate Arvin Miller for Judge,384381.0
3636,Quyen Sanh Gip,384360.5
3637,Mississippi Center for Public Policy,384294.5
3638,Le Huu Dong Huynh,384144.0
3639,republicEn,384047.0
3640,"Environment America Research and Policy Center, Inc.",383688.0
3641,Friends of James St. George,383688.0
3642,"Committee for Home Ownership, sponsored by North State Building Industry Assoc. Not authorized by a candidate or a committee controlled by a candidate.",383438.5
3643,For Freedoms Federation LLC,383013.0
3644,JOAN GREENE FOR CONGRESS,382859.5
3645,Jody Wagner for Mayor,382635.0
3646,NORTHERN ILLINOIS FOOD BANK,382253.0
3647,Mainline Media Group ,382251.5
3648,National Domestic Workers Alliance,382225.0
3649,Arlington Young Democrats,381651.0
3650,Kyle Francis Sekerak,381632.0
3651,REPUBLICAN MAJORITY FUND,381597.5
3652,TIFFANY SHEDD FOR CONGRESS COMMITTEE,381571.0
3653,Inland Empire Business Alliance PAC,381451.5
3654,Sam harless for State Representative Campaign,381237.0
3655,"PROGRESS FLORIDA, INC.",381058.5
3656,NEWSOM FOR CALIFORNIA GOVERNOR 2022,380911.0
3657,Tim Knopp for State Senate,380615.5
3658,Friends of Chris Smith,380446.0
3659,"PEOPLE FOR THE ETHICAL TREATMENT OF ANIMALS, INC.",380364.0
3660,FRIENDS OF ROBYN VINING,380269.5
3661,2024 LLC,380160.0
3662,Andrew Warren for State Attorney,379963.5
3663,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA INC.,379908.0
3664,"WONG, MARGARET W & ASSOCIATES CO LPA (INC)",379792.5
3665,Fabert for the Fourth,379738.0
3666,DR. RAUL RUIZ FOR CONGRESS,379633.5
3667,RENEW MASSACHUSETTS COALITION  INC,379533.0
3668,Sunrise,379367.5
3669,Connie Mederos Jacobs For Manatee County Judge,379109.5
3670,2020 Democratic National Convention Committee,378985.0
3671,Nancy Barto for State Senate 2020,378922.0
3672,the Office of Rep. Spanberger,378827.0
3673,TOM O'HALLERAN FOR CONGRESS,378448.5
3674,Bob Hamilton for Kansas,378431.0
3675,Hispanic Federation,378051.0
3676,DeSmog,378011.5
3677,National Write Your Congressman,377918.0
3678,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,377003.0
3679,SI Technews,376935.0
3680,City of Kentwood,376567.0
3681,Tarrant County Republican Party,376538.0
3682,Pacific Northwest Waterways Association,376360.5
3683,THE ACTION PAC,376297.0
3684,County of Santa Clara Public Health Department ,375670.5
3685,Tony Scarpino for District Attorney,375459.5
3686,Abigail Wheeler for the 66th,375405.5
3687,Georgians for Broadband,375084.5
3688,Woody Thrasher for Governor 2020,374973.0
3689,Medical Teams International,374396.5
3690,Office of Congressman Chris Pappas,374194.0
3691,COMMITTEE TO ELECT DAN TAXATION IS THEFT BEHRMAN,374114.5
3692,BP CORPORATION NORTH AMERICA INC.,374106.5
3693,Little Rock Metroplan for Metroplan Ozone Action Days Ditch the Keys,373688.0
3694,DEBORAH ROSS FOR CONGRESS,373551.0
3695,Illuxus,373368.5
3696,Independence Party of New York State,373285.5
3697,NYC Mayor’s Office to End Domestic and Gender-Based Violence,373249.5
3698,The Capitolist,373223.5
3699,Protecting Ohio Action Fund,373120.5
3700,Bethesda Lutheran Communities,373041.5
3701,MONTANANS FOR LIMITED GOVERNMENT,373019.5
3702,Charity Mobile,372984.0
3703,ARATI FOR CONGRESS,372841.0
3704,Friends of Sarah for Assembly,372830.0
3705,Southern California Edison,372595.0
3706,Deborah Guthrie for Meridian Twp Trustee,372571.0
3707,"Lift up Richmond, Yes on Measure U, sponsored by Service Employees International Union SEIU Local 1021",372550.0
3708,French For Justice,372452.0
3709,CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.,372445.5
3710,Salt Lake County,372095.5
3711,Friends of Dave Dyk,371994.5
3712,"Katherine Fernandez Rundle, Democrat, for State Attorney",371980.0
3713,Friends of Sharif Street,371737.5
3714,"CATO INSTITUTE, INC.",371733.5
3715,Vote Solar,371589.0
3716,City of Glendale,370701.0
3717,Cardozo School of Law ,370607.0
3718,WALBERG FOR CONGRESS,370574.0
3719,Ana Maria Rodriguez Campaign,370419.0
3720,Sam Chase for Portland,370161.5
3721,Asian Pacific Islander Political Alliance,369826.5
3722,KENTUCKIANS FOR THE COMMONWEALTH,369819.0
3723,CENTER FOR CIVIC POLICY,369776.5
3724,BENNET FOR AMERICA,369669.0
3725,Aspire Gear,369535.0
3726,LEO FOR DA,369163.0
3727,Minerva LLC,369161.0
3728,Harpootlian for Senate,369131.0
3729,Mark Anthony Russell,369107.0
3730,Placer County Transportation Planning Agency,368879.5
3731,American Firearms Coalition,368599.5
3732,MIKE BROIHIER FOR SENATE,368202.5
3733,AnimalPetitions.org,368156.0
3734,Civitas Institute,367980.5
3735,Wheeler for NC,367955.0
